[0927/114020.248:INFO:CONSOLE(1)] "Long rAF frame-time", source: file:///C:/Program%20Files/Adobe/Adobe%20Photoshop%202020/Required/www-rich-tooltips/build/external.js (1)
[0927/122358.173:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0927/122410.414:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0927/122415.421:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0927/122420.432:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0927/122425.449:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0927/122430.462:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0927/122435.465:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0927/122442.629:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0927/122448.308:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0927/122501.236:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0927/122507.998:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0927/122513.711:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0927/122516.340:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0927/122519.069:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
